,,,,,,,,,,,
,abc.com,,,,,TYPO3 Upgrade from x.x.x to x.x.x,,,,,
,Extension Details,,,,,,Extension Version,,Compatibility,,Note
,#,Name,Key,Installed,Type,State,Currant,Latest,v12.x,v13.x,
,1,,,,,,,,,,
,2,,,,,,,,,,
,3,,,,,,,,,,
,4,,,,,,,,,,
,5,,,,,,,,,,
,6,,,,,,,,,,
,7,,,,,,,,,,
,8,,,,,,,,,,
,9,,,,,,,,,,
,10,,,,,,,,,,
,11,,,,,,,,,,
,12,,,,,,,,,,
,13,,,,,,,,,,
,14,,,,,,,,,,
,15,,,,,,,,,,
,16,,,,,,,,,,
,17,,,,,,,,,,
,18,,,,,,,,,,
,19,,,,,,,,,,
,20,,,,,,,,,,
,,,,XX Installed,,,,,XX Compatible,XX Compatible,
